,subject_id,Keep,data.the-radio-source-is-showing-extended-morphology,data.yes-there-seem-to-be-associated-regions-close-to-the-central-source,data.no-nearby-marked-regions-seem-associated-with-the-central-source,flag_optical_counterpart,flag_rad_extended,flag_rad_point,classifications_count,LCurl,keep
0,91319001,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bc620e00-a2d8-45c4-a159-5dc827bf6249.png,1
1,91319021,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4e856fda-7ea0-44fb-9009-6749350b9562.png,1
2,91319024,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6dbe6d6a-ca18-4650-82c5-39c7abc4026a.png,1
3,91319037,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b6a3e11f-53b7-4bfb-8727-a92ff9c0df2a.png,1
4,91319045,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/12971365-8323-4971-9c9d-a65b0fd4841d.png,1
5,91319052,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4a9a2ef4-10be-4f6c-9338-f73c1f48e33f.png,1
6,91319054,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/489c0ddf-5e3c-4c5d-a6d1-80daefdf8af5.png,1
7,91319056,1,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/f1aa6204-4859-43b3-a6e4-a2cd746e5cb3.png,1
8,91319059,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c394efd1-7598-4ac5-99c9-99df6d46a6a7.png,1
9,91319076,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/41eaa879-7e4d-4548-b72d-2cdf7ed90c0f.png,1
10,91319080,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a0dfa3c9-d980-49be-830d-f10b803bd91d.png,1
11,91319089,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/faccc4ca-4acb-4e14-82be-4a4c6d97fc79.png,1
12,91319109,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ae86e352-7004-4143-8123-880f7fb09bd2.png,1
13,91319112,1,6.0,4.0,2.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/ed081cd9-a84c-437f-88e0-6ba99c4347fc.png,1
14,91319116,1,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/798d3161-69d4-41f2-a23e-7debe3686cbc.png,1
15,91319169,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9fb12d9-a92a-45fc-ba21-5d22d1ebd6ca.png,1
16,91319189,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/31f80dc7-ed46-4a5d-a7af-279f76a80ba5.png,1
17,91319198,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e3f469af-e6e3-4373-9f3e-0f33ebdf3f9c.png,1
18,91319212,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/83119347-2899-4c08-87c0-79948b56f16d.png,1
19,91319221,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/183ab6fd-4e3a-4148-9e2a-5f2a1be2646f.png,1
20,91319241,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bfff9890-6b00-477b-87e2-7174cd2b9a04.png,1
21,91319254,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ace45d46-fcec-4714-a317-4c27963f1042.png,1
22,91319265,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1f7f67fa-9794-4724-872d-4ff45958a1ee.png,1
23,91319267,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a8f79617-2fc0-4f4c-bb58-1158f1fa86f8.png,1
24,91319280,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/c4655236-4bb6-43bf-b08f-b1ac51f586bd.png,1
25,91319299,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/daac026a-1d49-4c43-a532-f9b579c7695a.png,1
26,91319301,1,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/4fff85b0-d9d1-471e-afc7-cdabbe1b1585.png,1
27,91319307,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b7cbc1c3-936d-4985-b76e-b526e708ef7b.png,1
28,91319310,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b89d1ce9-8523-4b3d-9a12-b3c385454558.png,1
29,91319325,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1705cb2b-8231-4a2d-bf39-ffc9694729a8.png,1
30,91319327,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0b6d7d36-4c25-41f4-9119-59db1b54e66b.png,1
31,91319340,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/627d953f-6399-417a-8649-b1a8fbb32322.png,1
32,91319342,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d4b96fc4-128d-4294-b5ef-c27514857439.png,1
33,91319344,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/48584e38-0164-4af8-bd3c-32ee9fb8cc4b.png,1
34,91319361,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f0cd399f-ef7a-4608-807a-3636db6dc9e8.png,1
35,91319367,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bfd7f59c-2567-4806-b6f0-de50e371b097.png,1
36,91319435,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/bedd355b-6aef-46ea-b5c2-537917ad04bf.png,1
37,91319446,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f893dc97-fe4c-4d05-a0ca-4c3552c7dd1a.png,1
38,91319452,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/805cebef-2051-488e-bec0-e5d3f0ca110a.png,1
39,91319476,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6ebd1596-a1f0-4196-9b55-a607fcb439f2.png,1
40,91319479,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/11df81ca-a4fd-46e4-92ea-57f936ec38e7.png,1
41,91319495,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/08905173-a29d-4525-9483-da21138b1896.png,1
42,91319529,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/933b7218-9163-436b-88e5-a98e26ac2df5.png,1
43,91319536,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4a5f0a87-4249-4b93-bb6b-92be61ca90ec.png,1
44,91319545,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5b0c9613-cd39-4a57-89db-1af1e50085e4.png,1
45,91319552,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/988838e0-a693-4c39-b327-e8cce536b806.png,1
46,91319557,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ef9cc2c0-b5da-4bb2-a175-e00f9bf0baff.png,1
47,91319616,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8c4bfe04-c183-430e-aef5-041a2be014c0.png,1
48,91319647,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/faf3d99f-4d08-41d0-9b57-d0666558e867.png,1
49,91319651,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1e54d080-9ebe-489d-a4f0-fab764d6edc7.png,1
50,91319653,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/dcb0df64-3346-430d-a7eb-f9ecc82985c0.png,1
51,91319658,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/42178d6e-6459-46c1-97d7-741d0f32025d.png,1
52,91319700,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4dcb7712-13ef-4824-83f3-11a2da49c8ee.png,1
53,91319701,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5e59d400-4239-4f70-b839-140f5ad97068.png,1
54,91319704,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/67565197-bf4f-49e4-9d56-db673d242af5.png,1
55,91319705,1,7.0,7.0,0.0,0.0,1.0,0.0,7,https://panoptes-uploads.zooniverse.org/subject_location/f5a23203-ef57-48be-9215-8fa3421b187e.png,1
56,91319709,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/91a4e018-4b61-4b00-8307-e5eafc3d18f2.png,1
57,91319715,1,6.0,6.0,0.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/23df71d4-5db8-49c6-b604-c49bb3e116e5.png,1
58,91319717,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b66fe07f-d243-4b80-88b3-7441fec56fd5.png,1
59,91319735,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5335455a-8cae-420e-8b0a-b190f880f4c4.png,1
60,91319766,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0dd52017-b688-499a-8156-ec4bde94aa46.png,1
61,91319775,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/dd71ce70-5784-4531-a118-1575ebefd6cc.png,1
62,91319792,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8eeaa14a-ad87-4d91-811f-14f45622b65c.png,1
63,91319821,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ee6e53ab-0b35-4f1d-bcbe-9313037453da.png,1
64,91319836,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e336404b-15c5-4be4-bdcd-316c3156642f.png,1
65,91319842,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8a71ce6e-06a9-4734-9b00-88507a484f68.png,1
66,91319872,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/788987c8-6d59-419a-b663-ef122663c09e.png,1
67,91319874,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d1c712a6-8367-44f0-b8a0-bbbab095d6e7.png,1
68,91319882,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/d63dbb92-05a3-4cf1-aca8-490ad6d8d274.png,1
69,91319888,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/698348be-3096-4d9c-ada1-af44d7fa8388.png,1
70,91319891,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3860a4d7-27ff-474b-a5c7-501807641a3a.png,1
71,91319895,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6d08a008-1043-4445-802f-5b33279e9a74.png,1
72,91319912,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/adf14703-1670-45c7-a2b5-70dd1518d475.png,1
73,91319913,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1a9cf662-0a73-43ea-9034-1f3b62c9e2fd.png,1
74,91321176,1,6.0,6.0,0.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/92541b76-ac74-42cc-88d5-a281f544c63c.png,1
75,91321199,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6a5fc609-988f-41f3-a57d-ec87b8562353.png,1
76,91321219,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/2898b1bd-7c6c-4c0d-9233-f449b90b2568.png,1
77,91321225,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8738a6b7-42aa-461c-8c0c-5bcaf3095d36.png,1
78,91321233,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0c286df5-d0b6-49ec-9803-e32b2eeef407.png,1
79,91321254,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/40000b2b-7e4d-4034-83e9-076cd0c14b50.png,1
80,91321274,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/344ddba3-e107-4087-99de-70664d96bae3.png,1
81,91321294,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1c65f189-62ff-40d9-9ba9-e672de643310.png,1
82,91321303,1,6.0,4.0,2.0,0.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/79ffc225-2850-42ba-802d-5e1537ed5564.png,1
83,91321324,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f818fb74-743f-4e85-8fe3-6441dec0b856.png,1
84,91321343,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/290a9202-e718-4d09-a695-9a4f82adca29.png,1
85,91321351,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4071ca4a-0245-4091-a336-110ba0b79dca.png,1
86,91321359,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/281b3214-a9d5-471f-b734-2d86ac6ca674.png,1
87,91321361,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ff7ac3b1-6019-4d88-ba71-066124d8c2fe.png,1
88,91321377,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/b18d1109-d799-487e-a13c-3b3fbbd8aab9.png,1
89,91321387,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/8bf38d74-032f-4b30-a5c6-4b7d7025f8a5.png,1
90,91321396,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fdd6bfdf-63e0-4c61-99cb-2ac0a1e29337.png,1
91,91321398,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e931cb2c-198c-4e08-85aa-8cfd5ff68d85.png,1
92,91321449,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/ef64d1c6-f05d-4418-afc8-888c37e3a837.png,1
93,91321466,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/be32128c-38a8-4c89-bd6b-fee7fd02e706.png,1
94,91321472,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3fd7a391-bace-41f0-b6e9-ab62be2d6939.png,1
95,91321479,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/9259b4e8-95e0-4021-958f-c237e149d6e4.png,1
96,91321482,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/883bb679-fec5-4c80-819e-6ffac16803e3.png,1
97,91321484,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/99a203a9-bf91-49bf-8c91-864f7e6c1cb1.png,1
98,91321500,1,7.0,7.0,0.0,0.0,1.0,0.0,7,https://panoptes-uploads.zooniverse.org/subject_location/14f6e754-8ebc-4d16-9d22-6b3f4c4ae9d9.png,1
99,91321524,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/84b80f1a-3056-4e63-a39a-93e13fe94a2e.png,1
100,91321539,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a0ea43cd-d8db-44ed-a412-e42c8e38a3fb.png,1
101,91321552,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4567f6bd-b934-4ba3-b9ac-fc03676aaf2a.png,1
102,91321560,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/359226af-4c4d-4e8a-a380-fe269f6d6e55.png,1
103,91321564,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1abf9e2b-8922-4f16-a9eb-fb87f4b4badf.png,1
104,91321582,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a4a4cbdb-e6f5-4f84-bd78-e509dac7c362.png,1
105,91321628,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/26176c49-16ed-4f0f-80bd-47035850be99.png,1
106,91321629,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a40df816-f16e-4351-bb6f-bcd49891a535.png,1
107,91321636,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/f96ce87e-0815-4148-814c-7f4504936b9f.png,1
108,91321646,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/271ee22e-04cd-4791-b6df-e9de0e5b8c30.png,1
109,91321652,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/63583633-dce7-4cca-951a-f1213cf438b6.png,1
110,91321669,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/adf23122-2c70-453c-836e-9071f03a075d.png,1
111,91321679,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/db38c857-1ce9-4534-bd12-698bb0a86c7f.png,1
112,91321726,1,6.0,6.0,0.0,1.0,1.0,0.0,6,https://panoptes-uploads.zooniverse.org/subject_location/bd387ef0-4e54-4c9c-a13a-a2d338501feb.png,1
113,91321734,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1fff7511-1db0-4012-8226-a280dbd1e66c.png,1
114,91321765,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/de728464-9ae0-4b03-8d2c-580b7e60446e.png,1
115,91321767,1,5.0,4.0,1.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/961d5b70-54c3-4544-95be-e28aad0480d7.png,1
116,91321781,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/fe30318d-3688-4d74-99f8-70daedd59785.png,1
117,91321802,1,5.0,4.0,1.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/a6eca983-f8c9-4120-8505-3ba013facd03.png,1
118,91321832,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/19a0a9c6-acf0-4daa-a3d6-dcbe96af7e32.png,1
119,91321886,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/68250fb6-31ba-4178-90cd-cc6fe575ea94.png,1
120,91321897,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/3a9d34e0-1b63-43cb-8083-65a5df346180.png,1
121,91321925,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/1ce8a87b-4af2-46fd-8094-168191dfb6f2.png,1
122,91321972,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/041ed748-58fb-4ea0-a13b-899af5188a67.png,1
123,91321973,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/7b72f409-40f8-4ace-b301-71d4dbd8ecde.png,1
124,91321985,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0cc390dd-1762-4a97-b988-c0d59632dd50.png,1
125,91321991,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/6bacf930-8d51-477c-990a-32085eb4c9ea.png,1
126,91322001,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4831cf88-35eb-4b51-981d-d44693686d51.png,1
127,91322008,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/0c8f0e51-c528-4c85-a4a4-4089ae1a6054.png,1
128,91322024,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/e9ec872b-c16b-461f-b886-a48bc9d07c18.png,1
129,91322035,1,5.0,5.0,0.0,1.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/79fd6c37-f7cb-46ba-94e1-2fa195737d75.png,1
130,91322092,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/4006e11d-00eb-4f0d-a8bd-cb7710073554.png,1
131,91322104,1,5.0,5.0,0.0,0.0,1.0,0.0,5,https://panoptes-uploads.zooniverse.org/subject_location/5d1479ea-6141-475e-ae75-5809a99bc5e6.png,1
