Seq,Vmag,SNR
1,17.37,23
2,17.24,29
3,16.41,60
4,16.81,35
5,15.93,63
6,17.92,46
7,15.16,60
8,17.23,38
9,14.99,60
10,14.63,44
11,17.21,31
12,16.66,49
13,15.14,92
14,15.56,85
15,16.25,40
16,15.55,49
17,17.30,34
18,16.63,30
19,16.53,32
20,17.63,26
21,17.12,28
22,16.44,38
23,17.33,54
24,17.82,27
25,16.04,65
26,16.43,49
27,17.01,69
28,16.44,47
29,15.23,86
30,17.49,32
31,15.84,70
32,16.38,55
33,15.46,91
34,15.14,82
35,16.94,53
36,16.09,62
37,15.39,80
38,17.79,43
39,17.86,32
40,18.48,26
41,13.93,116
42,18.38,29
43,15.07,112
44,15.22,89
45,17.28,72
46,15.32,95
47,17.38,38
48,17.13,24
49,15.31,92
50,18.00,32
51,16.68,59
52,18.07,26
53,16.82,58
54,17.66,32
55,14.75,94
56,16.33,54
57,17.47,32
58,15.51,88
59,17.18,34
60,16.44,60
61,15.70,45
62,17.62,31
63,15.03,113
64,17.56,39
65,17.53,40
66,16.88,41
67,16.79,58
68,15.43,104
69,16.30,63
70,15.03,104
71,17.14,38
72,15.93,74
73,17.56,29
74,17.33,36
75,17.55,28
76,16.15,92
77,17.67,24
78,17.63,30
79,17.95,31
80,16.58,49
81,17.73,34
82,17.71,39
83,17.19,62
84,16.02,49
85,17.45,26
86,16.75,48
87,15.00,32
88,17.76,31
89,17.02,42
90,18.11,27
91,16.83,39
92,15.43,29
93,16.23,47
94,16.69,51
95,17.70,37
96,17.45,43
97,17.63,50
98,16.30,53
99,16.39,49
100,17.82,23
101,16.13,58
102,16.56,40
104,17.46,47
105,15.05,88
106,15.57,66
107,16.59,47
108,15.96,53
109,16.14,40
110,17.90,24
111,15.34,40
112,15.85,48
113,15.81,35
114,15.47,48
115,16.78,53
116,17.85,24
117,15.37,43
118,16.89,35
119,17.07,39
120,16.69,32
121,16.31,36
122,17.78,27
123,17.98,23
124,17.68,27
125,17.56,38
126,16.17,35
127,16.49,52
128,18.23,22
129,16.35,47
130,18.09,27
131,17.59,37
132,18.37,25
133,15.02,55
134,17.60,39
135,17.55,36
136,16.99,40
137,17.66,30
138,16.37,53
139,15.48,52
140,17.58,31
141,17.95,28
142,15.82,57
143,17.65,34
144,15.65,55
145,15.28,70
146,16.09,45
147,17.66,25
148,17.15,34
149,16.78,47
150,17.08,32
151,16.17,52
152,17.25,31
153,15.73,45
154,18.15,25
155,17.79,27
156,15.78,45
157,15.74,49
158,15.82,53
159,17.66,24
160,16.33,56
161,17.07,30
162,17.61,28
163,16.43,55
164,15.81,38
165,17.26,41
166,15.27,58
167,15.35,57
168,18.21,24
169,17.85,26
170,17.20,30
171,17.47,22
172,17.58,22
173,17.12,22
174,16.65,43
175,15.02,50
176,15.37,27
177,17.84,26
178,17.00,25
179,17.42,28
180,15.67,57
181,16.32,35
182,16.82,26
183,15.86,63
184,17.22,47
185,17.25,31
186,15.59,55
187,15.01,52
188,15.68,52
189,17.55,39
190,15.92,53
191,15.77,61
192,16.25,41
193,17.69,27
194,17.69,30
195,16.42,32
196,17.78,32
197,16.47,46
198,18.07,32
199,17.80,41
200,15.39,47
201,17.19,22
202,14.88,85
203,17.97,49
204,15.25,91
205,15.76,69
206,17.21,34
207,15.59,60
208,17.70,47
209,15.36,77
210,17.54,31
211,16.38,40
212,16.05,69
213,14.09,105
214,15.28,84
215,15.85,66
216,17.51,33
217,18.04,27
218,16.12,61
219,14.62,84
220,16.06,54
221,17.75,27
222,15.39,71
223,17.73,29
224,18.19,29
225,14.51,64
226,15.64,45
227,17.72,42
228,16.27,59
229,13.56,84
230,16.43,40
231,17.85,30
232,15.53,59
233,17.56,31
234,14.16,98
235,14.98,73
236,15.73,76
237,17.07,39
238,17.85,35
239,15.84,58
240,15.86,53
241,16.13,42
242,17.64,31
243,16.26,59
244,15.61,43
245,16.20,60
246,16.40,53
247,16.29,58
248,14.96,82
249,16.19,68
250,15.43,95
251,15.51,77
252,15.71,50
253,13.62,87
254,14.89,102
255,15.24,85
256,15.91,66
257,15.97,65
258,17.72,34
259,16.48,52
260,17.74,35
261,17.65,24
262,18.11,25
263,17.89,29
264,15.92,40
265,16.27,59
266,17.76,30
267,17.04,45
268,15.45,56
269,15.51,48
270,18.35,27
271,18.20,23
272,18.24,31
273,15.86,45
274,17.24,38
275,16.31,36
276,16.14,54
277,16.56,37
278,15.75,55
279,15.60,54
280,15.49,45
281,16.69,33
282,15.50,39
283,16.05,48
284,15.35,48
285,16.27,44
286,17.77,22
287,16.24,30
288,16.22,57
289,15.82,60
290,15.94,48
291,15.85,55
292,15.74,45
293,18.02,30
294,15.35,54
295,17.72,22
296,16.03,52
297,15.80,47
298,16.26,49
299,17.77,27
300,16.98,36
301,16.88,31
302,16.18,55
303,15.78,47
304,16.85,40
305,15.69,35
306,15.50,66
307,15.25,54
308,16.15,63
309,17.72,35
310,16.67,49
311,17.50,41
312,16.11,47
313,15.59,53
314,15.63,49
315,18.18,24
316,15.36,108
317,17.71,26
318,17.94,38
319,15.14,91
320,15.46,97
321,18.32,32
322,15.47,96
323,17.95,26
324,18.39,34
325,15.87,93
326,18.24,41
327,15.34,124
328,15.99,59
329,17.27,36
330,18.14,39
331,15.55,111
332,17.89,40
333,18.28,32
334,16.27,68
335,17.81,38
336,17.12,26
337,17.81,34
338,18.19,28
339,16.64,44
340,17.98,33
341,18.04,36
342,17.84,37
343,16.95,32
344,15.63,73
345,16.41,62
346,17.66,28
347,15.49,66
348,15.76,69
349,16.66,65
350,18.17,32
351,15.99,63
352,16.01,71
353,16.81,65
354,17.87,28
355,18.03,34
356,18.22,35
357,17.12,28
358,17.68,46
359,18.47,27
360,18.10,34
361,16.88,58
362,16.53,56
363,17.85,71
364,17.81,28
365,17.65,47
366,15.43,93
367,16.07,69
368,17.79,45
369,17.16,39
370,16.33,59
371,16.74,50
372,15.74,75
373,16.70,68
374,16.33,60
375,18.03,29
376,17.83,47
377,15.52,86
378,17.92,25
379,16.09,93
380,16.43,64
381,16.52,72
382,16.11,101
383,17.68,43
384,17.72,53
385,18.14,43
386,15.52,119
387,17.11,59
388,15.17,124
389,17.89,43
390,17.74,54
391,16.28,79
392,16.41,59
393,16.17,97
394,15.34,105
395,17.24,54
396,16.67,44
397,17.70,43
398,17.94,37
399,16.98,36
400,17.44,65
401,18.14,30
402,15.52,81
403,16.89,68
404,18.02,43
405,16.42,64
406,15.10,73
407,15.86,87
408,17.49,61
409,16.45,53
410,17.18,49
411,16.04,63
412,16.30,51
413,18.24,43
414,17.73,48
415,18.01,40
416,16.87,73
417,17.89,57
418,16.26,79
419,15.93,88
420,17.60,54
421,18.10,39
422,16.47,75
423,17.83,56
424,16.67,67
425,17.19,50
426,17.76,56
427,17.27,39
428,17.31,56
429,16.01,115
430,16.22,70
431,16.03,103
432,17.00,68
433,15.83,97
434,15.76,135
435,15.07,78
436,15.55,64
437,18.04,32
438,18.08,25
439,15.00,97
440,16.84,70
441,16.39,70
442,16.43,42
443,16.38,23
444,15.94,70
445,17.48,19
446,18.49,14
447,17.77,29
448,17.18,29
449,18.37,16
450,17.51,29
451,17.97,26
452,16.91,38
453,17.96,37
454,15.37,81
455,17.35,34
456,17.62,35
457,15.54,37
458,15.12,41
459,15.35,34
460,15.93,50
461,16.87,35
462,17.20,42
463,14.15,110
464,15.66,82
465,16.08,75
466,15.64,22
467,16.46,53
468,17.85,26
469,16.73,24
470,16.91,38
471,17.64,26
472,17.22,42
473,15.89,91
474,17.72,39
475,16.74,60
476,16.47,74
477,17.71,46
478,16.11,34
479,17.76,50
